"Feature","MeanDecreaseAccuracy","MeanDecreaseGini"
"Propionylcarnitine",-0.182210259824685,0.163530464109842
"Pantothenate",-1.22569682848945,0.161584314409507
"Deoxycholate",1.57484587979055,0.161127854213472
"Palmitoyl_sphingomyelin",1.86570027742558,0.160859804983397
"Guanosine",1.159023962709,0.160761776935406
"Ascorbate",-0.739138425956801,0.155928724685667
"Alpha_tocopherol",-0.931468793103853,0.155350930370459
"Oleate",-0.331740865394256,0.148941115935564
"Arginine",-1.34469112448046,0.143332450463253
"Maltose",-0.544716124960135,0.141876434861912
"Gamma_glutamylglutamate",0.728030284053757,0.141869231918201
"PC2",-0.807890969377728,0.140608571938544
"Hypoxanthine",-0.518003253813865,0.139738826678014
"Sorbitol",0.316828067323908,0.136738608574735
"PC3",-0.662434694147902,0.134235813555844
"Xylitol",0.510142248226463,0.133454813781286
"Ornithine",-0.162904493799333,0.131273041653769
"Uric_acid",-0.322680258614232,0.129357101063
"Allantoin",-1.31935339148516,0.12543122078795
"Thiamine",0.44129573888022,0.124289428342269
"Fumarate",-0.944300738522466,0.122578320480658
"Choline",-0.804485356263395,0.120940363482067
"Taurine",-0.348277307835337,0.119012931521295
"Glycocholate",-0.512900283270212,0.11899790930319
"Linoleate",0.0921977372519931,0.11630110760395
"Tryptophan",1.76100945957659,0.115816892487508
"Uridine",-1.19682709710571,0.115439438362765
"Sphingomyelin_d18_2_14_0",1.1946573770864,0.114704412061225
"Docosahexaenoate",0.851930725339743,0.113601047387087
"Asparagine",-0.644396013850894,0.113236531109156
"Eicosapentaenoate",0.831149096933656,0.111644461594006
"Citrate",0.349429153435566,0.110445855819913
"Deoxyuridine_2",1.33974599982059,0.10904055503009
"Pyridoxal",-0.418206056088274,0.108966482099256
"Riboflavin",-0.798756680061956,0.108242157639941
"PC1",-0.864173838890713,0.107062625377028
"Alpha_ketoglutarate",-0.381786064821623,0.102228429450571
"Histidine",-0.925929079665137,0.101894076784528
"Lactate",0.734741694876483,0.100956554536234
"Xanthosine",-2.13632210339366,0.0993701133259519
"Paraxanthine",1.36578065692307,0.0977286342006721
"Alanine",-0.833306480589495,0.0918774056990273
"Stearate",1.29239926936991,0.090884966595329
"Caffeine",0.716050569661656,0.0866118023123097
"Cholate",0.481119568797803,0.0865010117250976
"Adenosine",0.655795590689606,0.0821401754784517
"Pyruvate",-0.379858211900046,0.0799228043103952
"Theobromine",2.10238522423717,0.073664868007385
"Nicotinamide",1.53488524090118,0.0698283277363369
"Phenylalanine",0.704816289925672,0.0609727018272421
"Sex",0.981325941009576,0.00833333333333333
